block	order_in_block	repetition	loadgen_seed	request_rate	num_prompts	arrival_window_seconds	plan_shuffle_seed	run_namespace	input_len	output_len	max_concurrency	num_warmups	random_range_ratio	ttft_slo_ms	e2e_slo_ms	tpot_slo_ms
1	1	1	31001	13	3900	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
1	2	1	31001	12	3600	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
1	3	1	31001	14	4200	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
2	1	2	31002	12	3600	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
2	2	2	31002	14	4200	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
2	3	2	31002	13	3900	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
3	1	3	31003	14	4200	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
3	2	3	31003	12	3600	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
3	3	3	31003	13	3900	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
4	1	4	31004	13	3900	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
4	2	4	31004	14	4200	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
4	3	4	31004	12	3600	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
5	1	5	31005	12	3600	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
5	2	5	31005	13	3900	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
5	3	5	31005	14	4200	300	20260810	phase3b-v1	512	128	1024	8	0	200	4000	
